Team,EloRating
Arsenal,1597.1166543824534
Aston Villa,1562.564927992294
Man City,1559.8238664870605
Man United,1544.9042296979023
Chelsea,1532.1476364079244
Liverpool,1530.188854832017
Sunderland,1526.52364888003
Bournemouth,1512.7520101819196
Brentford,1511.5406945341952
Fulham,1505.8150266597602
Brighton,1504.591715730218
Everton,1502.7502360610622
Newcastle,1499.4682498414747
Crystal Palace,1485.1099905184399
Tottenham,1479.3539968112466
Leeds,1472.3060432361688
Nott'm Forest,1449.4888642289611
West Ham,1434.026929149696
Burnley,1416.959095556538
Wolves,1372.5673288106389
