Pos,Team,MP,W,D,L,GF,GA,GD,Pts,Last5,Pts_zscore,GD_zscore,Pts_pct,GD_pct,Strength
1,Arsenal,32,21,7,4,62,24,38,70,"['W', 'W', 'W', 'W', 'L']",2.07,2.21,100.0,100.0,Strong
2,Man City,31,19,7,5,63,28,35,64,"['W', 'W', 'D', 'D', 'W']",1.6,2.03,95.0,95.0,Strong
3,Man United,31,15,10,6,56,43,13,55,"['W', 'W', 'L', 'W', 'D']",0.9,0.76,87.5,90.0,Above Average
4,Aston Villa,32,16,7,9,43,38,5,55,"['L', 'L', 'L', 'W', 'D']",0.9,0.29,87.5,70.0,Above Average
5,Liverpool,32,15,7,10,52,42,10,52,"['W', 'L', 'D', 'L', 'W']",0.67,0.58,80.0,80.0,Above Average
6,Chelsea,32,13,9,10,53,41,12,48,"['L', 'W', 'L', 'L', 'L']",0.36,0.7,75.0,85.0,Above Average
7,Brentford,32,13,8,11,48,44,4,47,"['W', 'D', 'D', 'D', 'D']",0.28,0.23,67.5,65.0,Above Average
8,Everton,32,13,8,11,39,37,2,47,"['W', 'W', 'L', 'W', 'D']",0.28,0.12,67.5,60.0,Above Average
9,Brighton,32,12,10,10,43,37,6,46,"['W', 'L', 'W', 'W', 'W']",0.2,0.35,57.5,75.0,Above Average
10,Sunderland,32,12,10,10,33,36,-3,46,"['D', 'W', 'L', 'W', 'W']",0.2,-0.17,57.5,37.5,Above Average
11,Bournemouth,32,10,15,7,48,49,-1,45,"['D', 'D', 'D', 'D', 'W']",0.12,-0.06,50.0,52.5,Above Average
12,Fulham,32,13,5,14,43,46,-3,44,"['W', 'L', 'D', 'W', 'L']",0.05,-0.17,45.0,37.5,Above Average
13,Crystal Palace,31,11,9,11,35,36,-1,42,"['W', 'L', 'W', 'D', 'W']",-0.11,-0.06,37.5,52.5,Average
14,Newcastle,32,12,6,14,45,47,-2,42,"['L', 'W', 'W', 'L', 'L']",-0.11,-0.12,37.5,45.0,Average
15,Leeds,31,7,12,12,37,48,-11,33,"['D', 'L', 'L', 'D', 'D']",-0.81,-0.64,27.5,27.5,Average
16,Nott'm Forest,32,8,9,15,32,44,-12,33,"['L', 'D', 'D', 'W', 'D']",-0.81,-0.7,27.5,20.0,Average
17,West Ham,32,8,8,16,40,57,-17,32,"['L', 'W', 'D', 'L', 'W']",-0.89,-0.99,20.0,15.0,Average
18,Tottenham,32,7,9,16,40,51,-11,30,"['L', 'L', 'D', 'L', 'L']",-1.04,-0.64,15.0,27.5,Weak
19,Burnley,32,4,8,20,33,63,-30,20,"['L', 'L', 'D', 'L', 'L']",-1.82,-1.74,10.0,10.0,Weak
20,Wolves,32,3,8,21,24,58,-34,17,"['L', 'W', 'W', 'D', 'L']",-2.05,-1.98,5.0,5.0,Weak
